n,pv_share,scale_mode,lam,base_ok,v_min_base,tpf_conv,k_out,k_in,eps_med,q_max,v_min,v_max,nr_conv
40,0.5,load_pv,5.7384615384615385,True,0.8495986003745847,True,5.0,24.0,5.364994565672726e-06,0.08274762011627564,0.8546043107668918,1.0000768970032559,True
40,0.5,load_pv,6.292307692307693,True,0.8321013443170533,True,6.0,30.0,2.9265693749608944e-07,0.08239470858975571,0.8371074269048946,0.999593878274083,True
40,0.5,load_pv,6.846153846153847,True,0.8138053977830216,True,6.0,33.0,5.068210055115053e-07,0.08204162053352757,0.8188121377657871,0.999109423466114,True
40,0.5,load_pv,7.4,True,0.7945909738738441,True,6.0,37.0,8.894800666452708e-07,0.0816883543939056,0.7995979542320342,0.9986235195072259,True
40,0.5,load_pv,7.953846153846155,True,0.7743048902152928,True,7.0,43.0,8.911130455958616e-07,0.08133490852806853,0.779313913175565,0.9981361531186439,True
40,0.5,load_pv,8.507692307692308,True,0.7527458566118619,True,8.0,48.0,4.819537443521854e-07,0.0809812812665746,0.7577561076553416,0.9976473108126767,True
40,0.5,load_pv,9.061538461538461,True,0.729640200230647,True,8.0,54.0,1.0916485458856186e-06,0.08062747091477841,0.734651375434787,0.9971569788884576,True
40,0.5,load_pv,9.615384615384615,True,0.7045991147915502,True,9.0,69.0,1.5940279847116747e-06,0.08027347575094085,0.7096128720679895,0.9966651434269054,True
40,0.5,load_pv,10.169230769230769,True,0.6770366367996783,True,11.0,90.0,1.3762611601750014e-06,0.07991929402600745,0.6820515522616523,0.9961717902858486,True
40,0.5,load_pv,10.723076923076922,True,0.6459924754463633,True,14.0,125.0,1.3927729151085176e-06,0.07956492396295343,0.6510098127010088,0.9956769050949467,True
40,0.5,pv_only,0.2,True,0.9713682257206301,True,3.0,10.0,0.00016936918720102687,0.08575192310673173,0.9763689964889486,1.0038588965942687,True
40,0.5,pv_only,0.7538461538461538,True,0.9751323823545727,True,3.0,9.0,0.00016745838298344253,0.08575500073782462,0.9801331423513161,1.0040621021249132,True
40,0.5,pv_only,1.3076923076923077,True,0.978860816777962,True,3.0,9.0,0.00016558316265802162,0.08575804842788311,0.9838615700625106,1.0042648837368426,True
40,0.5,pv_only,1.8615384615384616,True,0.982554368302036,True,3.0,9.0,0.00016374237409821752,0.0857610274173111,0.9875551149365955,1.0044672409355824,True
40,0.5,pv_only,2.4153846153846157,True,0.9862138431853611,True,3.0,8.0,0.00016193479918672577,0.08576393804572978,0.9912145831734426,1.0046691754545212,True
40,0.5,pv_only,2.9692307692307693,True,0.9898400164163838,True,3.0,8.0,0.0001601595582592098,0.08576678064984866,0.9948407495984661,1.0049304870005273,True
40,0.5,pv_only,3.5230769230769234,True,0.9933356815034199,True,3.0,8.0,0.00015841566384569003,0.08576955556311187,0.9983383681100632,1.0056682968840214,True
40,0.5,pv_only,4.0769230769230775,True,0.9966283297410571,True,3.0,8.0,0.00015670251996638778,0.08577226311563674,1.0007560575692942,1.006404760991984,True
40,0.5,pv_only,4.630769230769231,True,0.9992447089004841,True,3.0,8.0,0.0001550203897045675,0.08577490363414916,1.0012199900493912,1.0071398854139726,True
40,0.5,pv_only,5.184615384615385,True,1.0002020565608465,True,3.0,9.0,0.0001533617381906766,0.08577747746119535,1.0016789737502896,1.009293840566135,True
40,0.5,pv_only,5.7384615384615385,True,1.0006545151911068,True,3.0,10.0,0.00015173387779186362,0.085780026707687,1.0021330977222924,1.0127632051258293,True
40,0.5,pv_only,6.292307692307693,True,1.0010712325529159,True,3.0,10.0,0.00015013251565716552,0.0857824701340234,1.00258244601306,1.016203360692974,True
40,0.5,pv_only,6.846153846153847,True,1.0012698462128593,True,3.0,10.0,0.00014855698882555168,0.08578484812550452,1.003027101443569,1.019614905194933,True
40,0.5,pv_only,7.4,True,1.0014680521944344,True,3.0,11.0,0.00014700915581087722,0.08578716099190187,1.0034671436203138,1.0229984148799514,True
40,0.5,pv_only,7.953846153846155,True,1.0016658521055062,True,3.0,11.0,0.00014548470963576164,0.08578940904253583,1.0039026494820913,1.026354446082146,True
40,0.5,pv_only,8.507692307692308,True,1.001863247542082,True,3.0,11.0,0.00014398444279976254,0.08579159258201624,1.0043336934969824,1.0296835366444637,True
