n,lam,z_rel,load_scale,p_tot,conv,k_in_12,k_in_6,k_pred,eta_emp,eta_r2,eta1,eta2,etainf,eta2_nom,v_min,feas_min,kappa,kappa_n
40,2.9692307692307693,1.0,0.0017346032184886,0.2060174899497327,True,12,6,10.672912325542098,0.0945600262338837,0.9999092987406928,0.1184372048876364,0.094613820198154,0.114752554402178,0.0796136636304536,0.9050535749792152,39.94247582012686,0.026086283394804337,0.0006521570848701084
40,3.2461538461538466,1.0,0.0017346032184886,0.225231556369915,True,13,7,11.20644703180567,0.1049704311501326,0.9999206293538612,0.1323642160442522,0.1054225669947152,0.1277906443557503,0.0870387721555737,0.8951496376308673,36.535060821253474,0.025911297622198574,0.0006477824405549643
40,3.5230769230769234,1.0,0.0017346032184886,0.2444456227900973,True,13,7,11.770829503316763,0.1161532487151089,0.9999120365269512,0.1469639270208327,0.1166868957732695,0.1413621698283121,0.0944638806806937,0.8850179424879594,33.66330931565277,0.025823397861367114,0.0006455849465341779
40,3.8,1.0,0.0017346032184886,0.2636596892102796,True,14,7,12.376399447344731,0.1282831356236847,0.9999171475987172,0.1622987819677306,0.1284466454682281,0.1555128877090097,0.1018889892058137,0.8746424564287988,31.21011268536228,0.02582540136658005,0.0006456350341645012
40,4.0769230769230775,1.0,0.0017346032184886,0.282873755630462,True,14,7,12.98615422868493,0.1405196130789688,0.9999078839258664,0.1784401626196628,0.1407471581283415,0.1702947925063762,0.1093140977309337,0.8640051680625941,29.09018050296031,0.02572984135525595,0.0006432460338813988
40,4.353846153846154,1.0,0.0017346032184886,0.3020878220506443,True,15,8,13.607871981183536,0.1529752759078325,0.9999161534135328,0.1954701741076249,0.1536403529765233,0.1857673219229199,0.1167392062560539,0.8530857279402749,27.23992167238333,0.025570164318622846,0.0006392541079655712
40,4.630769230769231,1.0,0.0017346032184886,0.3213018884708266,True,16,8,14.300179008829094,0.1668265326805903,0.9999185076938734,0.2134839013199237,0.1671860788119253,0.2019988724935025,0.1241643147811738,0.8418609999633764,25.61095625675908,0.025532466238060877,0.000638311655951522
40,4.907692307692308,1.0,0.0017346032184886,0.3405159548910089,True,16,8,15.01457581068886,0.1809800932738524,0.9999086554907728,0.2325922935247903,0.1814538368993545,0.2190687273121971,0.1315894233062939,0.830304495624742,24.16582392879148,0.025423085618903545,0.0006355771404725887
40,5.184615384615385,1.0,0.0017346032184886,0.3597300213111912,True,17,9,15.761568243344398,0.1955876058682705,0.9999138271883348,0.2529259005967953,0.1965250044713887,0.2370695397155121,0.1390145318314139,0.8183856513476185,22.875067754553363,0.025266250587337225,0.0006316562646834306
40,5.461538461538462,1.0,0.0017346032184886,0.3789440877313735,True,18,9,16.602081359819852,0.2117853105251337,0.9999132811616088,0.274639783174788,0.2124957461060779,0.2561105796511094,0.1464396403565339,0.8060688922059092,21.715205164181647,0.025195626400577573,0.0006298906600144393
40,5.7384615384615385,1.0,0.0017346032184886,0.398158154151556,True,19,9,17.49235958109618,0.2285671263529338,0.9999009776250712,0.2979200718898704,0.2294808882215688,0.2763220461137593,0.153864748881654,0.793312399347241,20.667286416312287,0.025067254921383605,0.0006266813730345901
40,6.015384615384616,1.0,0.0017346032184886,0.4173722205717383,True,20,10,18.45030577868545,0.2461617882184499,0.999902877827646,0.3229928929480142,0.2476191709716668,0.2978609015545429,0.161289857406774,0.7800664577346857,19.71585123602169,0.02490120968320471,0.0006225302420801177
40,6.292307692307693,1.0,0.0017346032184886,0.4365862869919206,True,21,10,19.54780755662313,0.2657265707262191,0.9998976561018332,0.3501367726278461,0.2670805181866225,0.3209189320966698,0.1687149659318941,0.7662711950556557,18.84816096157575,0.024796479851857484,0.0006199119962964371
40,6.56923076923077,1.0,0.0017346032184886,0.4558003534121029,True,22,11,20.735007734774403,0.2861018846388941,0.9998955223793552,0.3797003007312302,0.2880763471921758,0.3457341542352434,0.176140074457014,0.7518534127773501,18.053624902305582,0.02461912146541263,0.0006154780366353157
40,6.846153846153847,1.0,0.0017346032184886,0.4750144198322852,True,23,12,22.118599873586597,0.3088434177468593,0.9998846914996706,0.4121280051713115,0.31087460785954,0.372607417453096,0.183565182982134,0.7367220194909397,17.32336591749322,0.02448493730850197,0.0006121234327125492
40,7.123076923076924,1.0,0.0017346032184886,0.4942284862524675,True,25,12,23.693914886105883,0.3334012640801489,0.9998853362125768,0.4479995447593705,0.3358224638806863,0.401927385791754,0.1909902915072541,0.7207612297657727,16.64988732890817,0.024315457367248428,0.0006078864341812107
40,7.4,1.0,0.0017346032184886,0.5134425526726498,True,27,13,25.515914419986157,0.3600892068035189,0.999871315672653,0.488091510162335,0.3633818975182122,0.4342096579007614,0.1984154000323742,0.7038200260438318,16.026814622213063,0.02410469407816805,0.0006026173519542013
