n,pv_share,setpoint_mode,lam,ell,k_in,err,v_min,q_max,tol_eff,dq_max,eps_med,eps_max,eps_cf_med
40,0.1,calibrated,6.846153846153847,4,5,2.5790750450171984e-05,0.7561355911000461,0.08138243895667237,1e-06,5.648925558734817e-05,5.25260555442878e-06,1.7189161645362224e-05,2.635687319159816e-05
40,0.1,calibrated,6.846153846153847,5,4,4.044471069719613e-06,0.7561654867622017,0.0813824401932512,1e-06,9.509628626771926e-06,7.199797455004202e-07,2.8935523589176534e-06,4.208726393570839e-06
40,0.1,calibrated,6.846153846153847,6,2,2.2351513795371147e-07,0.7561613319623861,0.08138244019982382,1e-06,0.0,,,
40,0.1,calibrated,7.1230769230769235,1,11,0.004910240915537711,0.7452577643640126,0.0,1e-06,0.08114851794433778,0.005120993811032334,0.006283769876136244,0.004571502262998647
40,0.1,calibrated,7.1230769230769235,2,8,0.0010531050486405347,0.7399967557034429,0.08114851794433778,1e-06,0.0011671046731604917,0.00022487018936914816,0.0007850207347845247,0.0009795465034913918
40,0.1,calibrated,7.1230769230769235,3,7,0.00022102987981487132,0.7412665845847022,0.08117527212958506,1e-06,0.0004266922696115013,5.522679195336466e-05,0.00013210453827589274,0.00022300897019103316
40,0.1,calibrated,7.1230769230769235,4,6,4.367813578465274e-05,0.7410015063194659,0.08117540851686196,1e-06,9.217461749655522e-05,9.360025709358338e-06,2.8549079101133742e-05,4.479612480013913e-05
40,0.1,calibrated,7.1230769230769235,5,4,7.92922496128945e-06,0.7410531929775661,0.08117540921234746,1e-06,1.791619118551562e-05,1.4611568925880261e-06,5.548689366044361e-06,8.278172181511327e-06
40,0.1,calibrated,7.1230769230769235,6,3,9.135039515939525e-07,0.7410443359059242,0.08117540921589368,1e-06,0.0,,,
40,0.1,calibrated,7.4,1,12,0.005742781441213429,0.7301075665058039,0.0,1e-06,0.0809584641838075,0.0053949370996626495,0.006829736203258805,0.005067574417405164
40,0.1,calibrated,7.4,2,8,0.0013737760420018397,0.723733708478785,0.0809584641838075,1e-06,0.0016375728703126678,0.0003142873421901905,0.0009861766687582446,0.0013051033152840549
40,0.1,calibrated,7.4,3,8,0.00032672419739621095,0.7254300429349799,0.0809680568886813,1e-06,0.000621448959415817,8.214528907810422e-05,0.0001960127033110302,0.0003328120102180081
