n,pv_share,lam,q_init_mode,conv,k_out,k_in,eps_med,q_max,t_ms
40,0.5,4.630769230769231,continuation,True,4,19,6.317668288288297e-07,0.08342712414685083,0.40770007763057947
40,0.5,4.907692307692308,cold_q0,True,5,26,4.584372985355052e-06,0.08324840254116615,0.5270000547170639
40,0.5,4.907692307692308,continuation,True,4,20,7.290708980176744e-07,0.0832484027363036,0.47479989007115364
40,0.5,5.184615384615385,cold_q0,True,5,28,5.42500067287167e-06,0.08306956508049042,0.6098999874666333
40,0.5,5.184615384615385,continuation,True,4,21,8.388272531036076e-07,0.08306956524667794,0.49439992289990187
40,0.5,5.461538461538462,cold_q0,True,6,31,3.5841196981382405e-07,0.08289061079368219,0.7181999972090125
40,0.5,5.461538461538462,continuation,True,5,24,4.863856567281474e-07,0.08289061079463417,0.5640999879688025
40,0.5,5.7384615384615385,cold_q0,True,6,34,5.063246988399875e-07,0.08271153871550031,0.759200076572597
40,0.5,5.7384615384615385,continuation,True,5,24,5.398973263316793e-07,0.08271153871640706,0.840499997138977
40,0.5,6.015384615384616,cold_q0,True,6,35,7.1303455928365e-07,0.08253234808873611,0.7871000561863184
40,0.5,6.015384615384616,continuation,True,5,26,5.881066277584783e-07,0.08253234808942916,0.6423000013455749
40,0.5,6.292307692307693,cold_q0,True,6,37,1.0320164746239648e-06,0.082353038071028,0.7759000873193145
40,0.5,6.292307692307693,continuation,True,5,27,6.433610941985312e-07,0.08235303807178483,0.5934999790042639
40,0.5,6.56923076923077,cold_q0,True,7,44,8.744910608626624e-07,0.08217360781044339,1.2150999391451478
40,0.5,6.56923076923077,continuation,True,5,28,7.12935762660118e-07,0.0821736078110674,0.65510009881109
40,0.5,6.846153846153847,cold_q0,True,7,46,1.2877874678718728e-06,0.08199405644417251,0.786100048571825
40,0.5,6.846153846153847,continuation,True,6,32,1.2156020913983937e-07,0.0819940564441663,0.575499958358705
40,0.5,7.1230769230769235,cold_q0,True,8,53,6.250139076363676e-07,0.08181438310011889,0.8750000270083547
40,0.5,7.1230769230769235,continuation,True,6,36,1.675778007136525e-07,0.08181438310011124,0.6072999676689506
40,0.5,7.4,cold_q0,True,8,57,1.1323757403730035e-06,0.08163458689551926,1.117600011639297
