n,pv_share,lam,warm,adaptive,conv,k_out,k_in,t_ms,v_min
40,0.25,6.292307692307693,True,False,True,6,35,0.6956999422982335,0.7830661256650066
40,0.25,6.292307692307693,True,True,True,13,19,0.8935000514611602,0.7830666270051433
40,0.25,6.846153846153847,False,False,True,7,77,1.0255000088363886,0.7547487933688729
40,0.25,6.846153846153847,False,True,False,60,74,3.8873000303283334,0.758764553442516
40,0.25,6.846153846153847,True,False,True,7,43,0.7827000226825476,0.7547482759730418
40,0.25,6.846153846153847,True,True,True,15,22,1.0454999282956123,0.754748008000058
40,0.25,7.4,False,False,True,8,96,1.7461000243201852,0.7235169932448843
40,0.25,7.4,False,True,True,9,9,1.0778000578284264,0.7267324638113772
40,0.25,7.4,True,False,True,8,54,1.0792999528348446,0.7235177276370612
40,0.25,7.4,True,True,True,17,25,1.4359999913722277,0.7235179471994078
40,0.25,7.953846153846155,False,False,True,10,139,1.8625999800860882,0.6882552754236921
40,0.25,7.953846153846155,False,True,True,10,10,0.6561999907717109,0.6918486025700401
40,0.25,7.953846153846155,True,False,True,9,71,1.1529999319463968,0.6882558909094966
40,0.25,7.953846153846155,True,True,True,19,28,1.3256999664008617,0.6882556045706909
40,0.25,8.507692307692308,False,False,True,14,235,4.454800044186413,0.6468648257182265
40,0.25,8.507692307692308,False,True,True,12,12,0.7888999534770846,0.6509146066664193
40,0.25,8.507692307692308,True,False,True,13,114,1.9505999516695738,0.646865246982385
40,0.25,8.507692307692308,True,True,True,24,41,1.4791999710723758,0.6468650847594059
40,0.25,9.061538461538461,False,False,True,35,738,10.69549995008856,0.5943561746802842
40,0.25,9.061538461538461,False,True,True,15,15,1.588699989952147,0.5990086561735003
40,0.25,9.061538461538461,True,False,True,27,336,5.363499978557229,0.5943560817450113
40,0.25,9.061538461538461,True,True,True,52,102,3.8206999888643622,0.5943545633000449
40,0.25,9.615384615384615,False,False,False,60,8995,92.87559997756034,0.5108953014917635
40,0.25,9.615384615384615,False,True,True,23,23,1.5838999534025788,0.5130243859800431
40,0.25,9.615384615384615,True,False,False,60,10024,105.9499999973923,0.46916992624392734
40,0.25,9.615384615384615,True,True,False,60,5724,67.47460004407912,0.9657001754503177
40,0.5,0.2,False,False,True,3,9,0.24199998006224632,1.0014847240610303
40,0.5,0.2,False,True,True,3,5,0.19839999731630087,1.0014847167495888
40,0.5,0.2,True,False,True,3,8,0.2125999890267849,1.0014847233158732
40,0.5,0.2,True,True,True,3,5,0.18879992421716452,1.0014847735658754
40,0.5,0.7538461538461538,False,False,True,3,12,0.2327000256627798,0.9892331843388994
40,0.5,0.7538461538461538,False,True,False,60,90,4.839799948967993,0.9894268789511345
40,0.5,0.7538461538461538,True,False,True,3,9,0.721300020813942,0.9892331806172506
40,0.5,0.7538461538461538,True,True,True,3,6,0.23419992066919804,0.9892334689686362
40,0.5,1.3076923076923077,False,False,True,3,12,0.2821999369189143,0.9723428550513086
40,0.5,1.3076923076923077,False,True,False,60,90,4.18730010278523,0.9714201045817564
