n,lam,z_rel,load_scale,p_tot,conv,k_in_12,k_in_6,k_pred,eta_emp,eta_r2,eta1,eta2,etainf,eta2_nom,v_min,feas_min
120,5.7384615384615385,1.0,0.0001531013985555237,0.10542797845146525,True,19,9,17.4989758332598,0.22869244323075527,0.9998998884909631,0.29782500130885226,0.22961635950157977,0.2759184729262987,0.15332457331069313,0.7935100848242121,72.84839201376381
120,6.015384615384616,1.0,0.0001531013985555237,0.11051565569577189,True,20,10,18.46154319903916,0.24636960383324982,0.9999017529475351,0.3228659514212795,0.2478320926287896,0.29740520988895525,0.16072361438198676,0.7802896847097821,69.49475759880792
120,6.292307692307693,1.0,0.0001531013985555237,0.11560333294007853,True,21,10,19.564956941108715,0.26603308574879564,0.9998961715772671,0.3499705102142855,0.2673854048130314,0.32040717082366776,0.16812265545328026,0.7665218508542306,66.43630860912934
120,6.56923076923077,1.0,0.0001531013985555237,0.12069101018438516,True,22,11,20.759693241911567,0.2865255594115921,0.9998938495501255,0.37948570959215344,0.2884903797170569,0.34516255408944185,0.17552169652457372,0.7521333315975726,63.63571480359226
120,6.846153846153847,1.0,0.0001531013985555237,0.1257786874286918,True,23,12,22.153188733133277,0.3094080985268386,0.9998824357207883,0.41185420825213964,0.31141844839895444,0.3719726920541432,0.18292073759586724,0.7370328795277161,61.061685890188535
120,7.1230769230769235,1.0,0.0001531013985555237,0.13086636467299842,True,25,12,23.74187431648089,0.33413943158449705,0.9998827623272625,0.4476534691857057,0.33652146062147664,0.4012272697380159,0.1903197786671608,0.7211043728402137,58.68779745385292
120,7.4,1.0,0.0001531013985555237,0.13595404191730506,True,27,13,25.607230920738406,0.36140076346799943,0.9998772245861337,0.4876576324826245,0.3642679530571397,0.4334438942044197,0.19771881973845432,0.7041961334610228,56.491580501317884
120,7.676923076923077,1.0,0.0001531013985555237,0.14104171916161168,True,29,14,27.824687521601174,0.39144270593815206,0.9998545092032084,0.5329402148179996,0.39530305932785387,0.46933332814554835,0.20511786080974775,0.6861035041268935,54.453808058384574
120,7.953846153846155,1.0,0.0001531013985555237,0.14612939640591835,True,31,15,30.638054791521434,0.42618146404130874,0.9998384468371565,0.5850555913233847,0.43055384468655644,0.5099139433110282,0.21251690188104128,0.6665386159441594,52.55793079522997
120,8.23076923076923,1.0,0.0001531013985555237,0.15121707365022494,True,35,17,34.24337883671954,0.4657808763072146,0.9998098007420847,0.6463869400142573,0.47143018705081796,0.5567295014141775,0.21991594295233474,0.6450735210582553,50.7896265815587
120,8.507692307692308,1.0,0.0001531013985555237,0.15630475089453158,True,40,19,39.26163533347857,0.5131539056502109,0.9997547038566966,0.7208918424991042,0.5202528159301899,0.6123120791241059,0.2273149840236283,0.6210207637369899,49.13643801290036
120,8.784615384615384,1.0,0.0001531013985555237,0.16139242813883822,True,47,22,47.00630521689613,0.5724112571728867,0.9996670071714027,0.8159826702932249,0.5813262659881053,0.681339386198514,0.23471402509492173,0.5931386130775388,47.587478495856224
120,9.061538461538461,1.0,0.0001531013985555237,0.16648010538314484,True,60,27,61.46227668509762,0.6523635428896413,0.9994616609633342,0.9487356661657641,0.6644578699017207,0.7744189990665291,0.2421130661662153,0.5586806690478224,46.13319222603379
120,9.338461538461539,1.0,0.0001531013985555237,0.17156778262745148,True,103,44,110.05108047293734,0.7875598626066087,0.9986174259022194,1.183332360990959,0.8059988275347953,0.9306280332056739,0.24951210723750877,0.507831441209584,44.765156871719775
120,9.615384615384615,1.0,0.0001531013985555237,0.17665545987175812,False,500,500,,1.0003771065402327,0.0020988364718634855,0.31422247073632226,0.2569111483088023,0.31422247073632226,0.2569111483088023,,43.475920353814246
120,9.892307692307693,1.0,0.0001531013985555237,0.18174313711606477,False,500,500,,1.000684809826738,0.01623485436115435,0.3232720778935283,0.2643101893800959,0.3232720778935284,0.2643101893800959,,42.258865040643705
120,10.169230769230769,1.0,0.0001531013985555237,0.18683081436037138,False,500,500,,1.000490801379037,0.013650972556689456,0.3323216850507344,0.2717092304513893,0.33232168505073445,0.2717092304513893,,41.10809413182134
350,0.2,1.0,1.547823266854434e-05,0.0010834762867981038,True,6,3,4.2977950102203115,0.005342325824114689,0.9998468299036656,0.006615386076576964,0.005331047145941534,0.006602225780026399,0.005276808563154635,0.99413304731388,6598.369592122655
350,0.47692307692307695,1.0,1.547823266854434e-05,0.002583674222364709,True,7,4,5.3415743823115225,0.012623388210061056,0.999892519782357,0.01603962741347977,0.012897493910837964,0.015962676761397183,0.012583158881368746,0.9859028937097314,2767.058216051436
350,0.7538461538461538,1.0,1.547823266854434e-05,0.004083872157931314,True,8,4,6.141293821796123,0.020708089028778902,0.9998978789250413,0.025788411766353086,0.02069028187935706,0.02559058798746442,0.01988950919958288,0.9775436845458079,1750.5878509713166
350,1.0307692307692309,1.0,1.547823266854434e-05,0.00558407009349792,True,8,4,6.777443064019728,0.028458560342006188,0.9999197750058225,0.03588260130855785,0.02872316225569414,0.03550176688726332,0.027195859517796996,0.9690493036100323,1280.2806671282763
350,1.3076923076923077,1.0,1.547823266854434e-05,0.0070842680290645246,True,9,5,7.368587373962262,0.03666604288175001,0.9999065089981977,0.046345077135381794,0.037011173169484206,0.04571347406055787,0.03450220983601111,0.9604131338173231,1009.1624082069943
350,1.5846153846153845,1.0,1.547823266854434e-05,0.00858446596463113,True,9,5,7.949693387164804,0.04558078640340532,0.9999160668028236,0.05720100608606534,0.04557080597718318,0.05624460873651928,0.04180856015422521,0.9516279977512172,832.8039291028593
